Bairro;Zona;População Estimada
Adrianópolis;Centro-Sul;10459
Aleixo;Centro-Sul;24417
Alvorada;Centro-Oeste;76392
Armando Mendes;Leste;33441
Betânia;Sul;12940
Cachoeirinha;Sul;20035
Centro;Sul;39228
Chapada;Centro-Sul;13219
Cidade de Deus;Norte;82919
Cidade Nova;Norte;143201
Colônia Antônio Aleixo;Leste;19626
Colônia Oliveira Machado;Sul;10055
Colônia Santo Antônio;Norte;20851
Colônia Terra Nova;Norte;53287
Compensa;Oeste;89645
Coroado;Leste;60709
Crespo;Sul;18266
Da Paz;Centro-Oeste;17961
Distrito Industrial I;Sul;3201
Distrito Industrial II;Leste;4609
Dom Pedro;Centro-Oeste;20179
Educandos;Sul;18745
Flores;Centro-Sul;56859
Gilberto Mestrinho;Leste;65429
Glória;Oeste;10617
Japiim;Sul;63092
Jorge Teixeira;Leste;133441
Lago Azul;Norte;9022
Lírio do Vale;Oeste;25457
Mauazinho;Leste;27852
Monte das Oliveiras;Norte;47478
Morro da Liberdade;Sul;14078
Nossa Senhora Aparecida;Sul;8270
Nossa Senhora das Graças;Centro-Sul;17869
Nova Cidade;Norte;70428
Nova Esperança;Oeste;20919
Novo Aleixo;Norte;114209
Novo Israel;Norte;19887
Parque 10 de Novembro;Centro-Sul;48771
Petrópolis;Sul;48717
Planalto;Centro-Oeste;19249
Ponta Negra;Oeste;5919
Praça 14 de Janeiro;Sul;12117
Presidente Vargas;Sul;9391
Puraquequara;Leste;6923
Raiz;Sul;16694
Redenção;Centro-Oeste;41572
Santa Etelvina;Norte;31043
Santa Luzia;Sul;7688
Santo Agostinho;Oeste;19616
Santo Antônio;Oeste;23356
São Francisco;Sul;19889
São Geraldo;Centro-Sul;8983
São Jorge;Oeste;25585
São José Operário;Leste;78222
São Lázaro;Sul;14108
São Raimundo;Oeste;18199
Tancredo Neves;Leste;57728
Tarumã;Oeste;33168
Tarumã-Açu;Oeste;14249
Vila Buriti;Sul;2160
Vila da Prata;Oeste;13052
Zumbi dos Palmares;Leste;41563
